CountryName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Iran,0.93347,0.93689,0.94365,0.94533,0.96031,0.96529,0.9684,0.98807,0.96559,0.95641,0.95445,0.95403,0.95182,0.9768,0.99553,1.00529,1.01883,1.01711,
Iraq,0.77142,,,0.81222,0.7908,,,0.8138,,,,,,,,,,,
Iceland,1.02583,1.02401,1.02296,1.02354,1.00171,0.99594,1.00692,1.02913,1.01894,1.01747,1.01159,1.00465,0.99769,1.01832,1.01443,1.00389,1.00102,0.99555,
Israel,0.99517,0.99566,0.99153,0.98776,0.99906,0.99994,1.0026,1.0065,1.01152,1.01291,1.01358,1.01202,1.01203,1.01079,1.00928,1.00825,1.01296,1.01277,
Italy,0.97619,0.98332,0.97088,0.98029,0.99326,0.99055,0.9889,0.98897,0.98943,0.99082,0.98995,0.98707,0.98994,0.99375,0.99459,0.99653,1.0027,0.98404,
Jamaica,1.00904,1.00501,1.01264,1.01672,1.02067,,,,,,,,,,,1.06418,1.01468,1.01543,0.98905
Jordan,1.02655,,1.02159,1.0222,1.01828,1.01905,1.0288,1.02618,1.01693,,1.00738,1.00463,0.99609,0.99837,1.00879,,,1.00145,1.00224
Japan,,,,,,,,,,,,,,,,,,,
Kazakhstan,1.03446,,,,,,0.99651,,,,1.00502,1.00605,1.00756,1.0127,1.01526,1.02092,1.01621,1.01248,1.01219
Kenya,0.97041,0.96218,0.94465,0.9646,0.93383,0.9517,0.95437,0.94632,0.95429,0.95053,,,,,,,,,
Kyrgyz Republic,1.01432,0.99544,0.99713,1.00292,1.00265,0.99583,0.99598,0.99686,,1.0305,0.99478,0.99905,0.99446,1.00052,1.0005,1.00498,0.99489,0.99533,0.99695
Cambodia,0.8183,0.83586,0.84877,0.86002,0.87628,,0.89957,0.90371,0.91484,,,,,,,,,,
Kiribati,1.0645,1.09012,1.07585,1.07272,1.09884,1.06909,1.07027,1.08939,1.07185,,,,,,,,,,
St. Kitts and Nevis,1.09197,1.13663,1.11156,1.10881,1.09615,1.03711,,0.97937,1.00021,1.00581,0.9619,0.98889,0.98686,1.05283,0.97968,0.99273,0.99709,,
"Korea, Rep.",1.00961,1.01021,1.00986,1.00965,1.00923,1.00726,1.00205,0.99947,0.99907,0.99833,0.9977,0.99686,0.99727,0.9974,0.99672,0.99554,0.99482,0.99531,
Kuwait,1.01816,1.03722,,1.06288,1.07216,1.0689,1.03978,1.0124,1.02133,1.00905,1.00117,0.98724,1.03722,1.03312,1.03731,1.04884,,,
Latin America & Caribbean (excluding high income),1.011019945,1.009009957,1.008630037,1.01797998,1.01730001,1.016549945,1.018210053,1.026890039,1.02718997,1.028499961,1.02151,1.02079,1.02082,1.01938,1.02089,1.01688,1.01718,1.01243,1.01038
Lao PDR,0.80918,0.8138,0.81642,0.82115,0.82823,0.8305,0.83912,0.84686,0.858,0.86996,0.88188,0.894,0.90476,0.91477,0.92774,0.93726,0.9386,0.94471,0.94816
Lebanon,,,,,,,,,,,,,,,,,,,
Liberia,0.73627,,,,,,,,,,,0.88359,,,0.87646,0.86358,,,
Libya,,,1.03413,1.01808,,1.08397,1.05915,,,,,,,,,,,,
St. Lucia,1.06421,1.04243,1.06105,1.03381,0.95298,1.0292,1.00551,1.01249,,,,,,,,0.97756,0.98507,0.9963,1.00641
Latin America & Caribbean,1.010840058,1.008939981,1.008550048,1.017400026,1.016450047,1.015740037,1.017470002,1.025349975,1.025949955,1.027359962,1.02115,1.02043,1.02063,1.01889,1.02033,1.01639,1.01665,1.01209,1.01012
Least developed countries: UN classification,0.831219971,0.837960005,0.844619989,0.851419985,0.843630016,0.865310013,0.874639988,0.881120026,0.891070008,0.896440029,0.90815,0.91012,0.91595,0.9202,0.92566,0.93758,0.93996,0.94439,0.94434
Low income,0.769389987,0.776260018,0.783819973,0.794740021,0.792100012,0.817399979,0.831040025,0.841099977,0.852370024,0.863650024,0.87435,0.88287,0.88941,0.89534,0.89771,0.90703,0.91044,0.91126,0.91197
Liechtenstein,,,,0.92403,0.92619,0.8892,0.93542,0.92409,0.90633,0.92123,0.88459,0.89291,0.91258,,0.87104,0.85031,0.84751,,
Sri Lanka,,,,,,,,,,,0.99738,0.99589,1.01833,1.01747,,,1.01146,1.02472,
Lower middle income,0.864899993,0.871990025,0.880869985,0.922789991,0.92197001,0.927150011,0.933449984,0.940320015,0.954620004,0.966709971,0.97067,0.97431,0.9803,1.00789,1.00939,1.01135,1.02213,1.01928,1.01816
Low & middle income,0.907630026,0.911499977,0.914950013,0.93513,0.936469972,0.942080021,0.946780026,0.951820016,0.959869981,0.967819989,0.96716,0.97007,0.97437,0.9908,0.9931,0.99365,1.00052,0.99813,0.99745
Lesotho,1.0607,1.04079,1.0395,1.03954,1.03165,1.03302,1.03238,1.03822,1.04358,1.05948,1.04917,1.04482,1.05025,1.04997,1.05064,1.0456,1.04344,1.04505,
Late-demographic dividend,0.978269994,0.980340004,0.980889976,0.983659983,0.989440024,0.992579997,0.995739996,0.999189973,1.001960039,1.006870031,0.99575,0.99766,1.00223,1.00729,1.01169,1.00798,1.00929,1.00829,1.00863
Lithuania,0.99266,0.99094,0.98299,0.97884,0.99118,0.99333,0.99383,0.99581,0.99757,0.99616,0.9842,0.97748,0.9718,0.96683,0.96931,0.97013,0.96882,0.97139,
Luxembourg,1.03481,1.03093,1.02813,1.02568,1.02372,1.02759,1.02146,1.01653,1.01804,,1.02115,1.02649,1.02053,1.01679,1.01379,1.02045,1.0161,1.00946,
Latvia,1.01221,1.00261,0.99259,0.98484,0.98616,0.99025,0.99456,0.99994,0.99647,0.99161,0.98412,0.97748,0.98103,0.98044,0.98579,0.99024,0.99312,0.9961,
"Macao SAR, China",0.99719,1.00265,0.97707,0.95989,0.93724,0.93173,0.94196,0.94597,0.95905,0.97369,0.97276,0.97071,0.97752,0.98,0.98144,0.98461,0.99112,0.99508,0.99532
St. Martin (French part),,,,,,,,,,,,,,,,,,,
Morocco,0.83179,0.85435,0.86811,0.87981,0.88387,0.88653,0.88982,0.89508,0.89829,0.90505,0.9124,0.91374,0.91295,,,,,0.93019,0.94147
Monaco,,,,,,,,,,,,,,,,,,,
Moldova,1.00997,1.01479,1.01672,1.02133,1.02957,1.0245,1.02707,1.01683,1.01387,1.01138,1.01461,1.01149,1.01033,1.0085,1.00653,1.00121,0.99762,0.99457,0.99388
