Indicator Name,geoAreaName,parentName,value_2000,value_2001,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017
Proportion of women in managerial positions (%),Aruba,Caribbean,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Sint Maarten (Dutch part),Caribbean,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),New Caledonia,Melanesia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Vanuatu,Melanesia,,,,,,,,,,28.5,,,,,,,,
Proportion of women in managerial positions (%),New Zealand,Australia and New Zealand,38.2,38.6,38.6,36.4,36.3,36.5,39.9,40,40,,,,,,,,,
Proportion of women in managerial positions (%),Nicaragua,Central America,,,,40.2,38.5,40.3,41,,,,,,33.5,,35.2,,,
Proportion of women in managerial positions (%),Niger,Western Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Nigeria,Western Africa,,,,,,,,,,,,33.1,,30.3,,,21.5,
Proportion of women in managerial positions (%),Niue,Polynesia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Norfolk Island,Australia and New Zealand,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Norway,Northern Europe,25,25.2,27.5,28.4,29.2,30.4,33.2,31.6,31.5,34.1,34.4,31.4,32.2,32.9,35.5,36,37.9,38.3
Proportion of women in managerial positions (%),Northern Mariana Islands,Micronesia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),United States Minor Outlying Islands,Micronesia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Micronesia (Federated States of),Micronesia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Marshall Islands,Micronesia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Palau,Micronesia,26.8,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Pakistan,Southern Asia,,2.9,2.4,2.4,2.1,2.1,3.4,3.4,3,2.9,3.3,3.3,,3,4.2,2.9,2.9,
Proportion of women in managerial positions (%),Panama,Central America,,40.4,37.6,39.5,39.6,42.7,45.1,43.6,48.1,46,47.9,46.6,45.6,41.8,42.6,44,42.5,42.7
Proportion of women in managerial positions (%),Papua New Guinea,Melanesia,,,,,,,,,,,18.1,,,,,,,
Proportion of women in managerial positions (%),Paraguay,South America,,,34.8,35.4,30.2,34.3,38.3,34.1,34,35.5,32,34,32.3,38.6,33.8,38.7,36.6,34.7
Proportion of women in managerial positions (%),Peru,South America,28.1,27,24,28.1,25.6,25.7,27.8,28.5,20.3,35.8,29,38.1,30.4,32.1,25.5,33.8,33.3,36.8
Proportion of women in managerial positions (%),Philippines,South-Eastern Asia,,,57.8,,,,57.9,57.6,54.8,53.4,52.7,52.1,47.6,47.1,47,46.6,,51.5
Proportion of women in managerial positions (%),Pitcairn,Polynesia,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Poland,Eastern Europe,32.5,29.8,31.1,33.3,32.8,32.8,35.4,36.2,36.1,35.5,35.6,38,37.8,37.8,38.8,40.2,41.2,41.3
Proportion of women in managerial positions (%),Portugal,Southern Europe,31.1,30.8,29.5,32.2,33.5,34.1,33,31.8,31.5,31.8,32.3,33.4,35.2,33.8,35.1,32.6,35.9,34.3
Proportion of women in managerial positions (%),Guinea-Bissau,Western Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Timor-Leste,South-Eastern Asia,,,,,,,,,,,10.1,,,32.9,,,,
Proportion of women in managerial positions (%),Puerto Rico,Caribbean,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Qatar,Western Asia,,4.7,,,8.1,,7.3,6.8,,4.4,,,,12.2,,14.7,14.9,15.1
Proportion of women in managerial positions (%),R¨¦union,Eastern Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Romania,Eastern Europe,26.8,28.5,33.3,33.2,28.9,29.2,30.2,28.2,29.5,31.3,31.1,30.8,31.1,31.3,31.7,31.5,33.6,30.4
Proportion of women in managerial positions (%),Russian Federation,Eastern Europe,35.6,36.6,37.5,38.7,38.1,39,38.9,38.7,37.1,37.4,38.6,39.5,39.1,38.4,38.1,38.7,42,41.3
Proportion of women in managerial positions (%),Rwanda,Eastern Africa,,,,,,,,,,,,,34,,14.1,,,36.3
Proportion of women in managerial positions (%),Saint Barth¨¦lemy,Caribbean,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Saint Helena,Western Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Saint Kitts and Nevis,Caribbean,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Anguilla,Caribbean,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Saint Lucia,Caribbean,55.4,,55,59.4,52.3,50.4,46.1,,,,,,,,,,,
Proportion of women in managerial positions (%),Saint Martin (French Part),Caribbean,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Saint Pierre and Miquelon,Northern America,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Saint Vincent and the Grenadines,Caribbean,,49.5,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),San Marino,Southern Europe,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Sao Tome and Principe,Middle Africa,,,,,,,,,,,,,24.4,,,,,
Proportion of women in managerial positions (%),Saudi Arabia,Western Asia,,,,,,,9,9.2,7.1,5.4,,,,6.8,5.7,5.8,,
Proportion of women in managerial positions (%),Senegal,Western Africa,,,,,,,,,,,,,,,,23.2,,
Proportion of women in managerial positions (%),Serbia,Southern Europe,,,,,25.9,24.8,24.9,35.4,36.2,35,,32.8,29.1,31.5,29.8,29.2,29.4,30.7
Proportion of women in managerial positions (%),Seychelles,Eastern Africa,,,,,,,,,,,,40.8,,,49,48,45.5,46.8
Proportion of women in managerial positions (%),Sierra Leone,Western Africa,,,,,,,,,,,,,,,37.9,,,
Proportion of women in managerial positions (%),Singapore,South-Eastern Asia,,25.1,26.1,26.1,27.7,,31,30.4,31.4,31.3,34.3,33.9,33.8,33.7,33.9,34,,34.5
Proportion of women in managerial positions (%),Slovakia,Eastern Europe,31.2,31.2,31.2,33.3,32.9,30.8,27.9,30.9,29.7,32.2,34.6,30.9,33.1,32.7,30,31.3,35,32.8
Proportion of women in managerial positions (%),Viet Nam,South-Eastern Asia,16.8,19.1,19.3,19.9,22.2,,,20.5,,20.8,23.4,23.3,23.9,24.4,22.9,25.8,26.1,27.2
Proportion of women in managerial positions (%),Slovenia,Southern Europe,29.6,31.6,29.1,33.2,33.4,34.2,33.1,31.9,34.8,35.5,34.8,38.4,39,37,37.6,37.4,40.8,41.2
Proportion of women in managerial positions (%),Somalia,Eastern Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),South Africa,Southern Africa,25.2,22.1,25.3,25.5,25.2,28.8,29.8,31.9,29.6,30,29.6,31,31.1,30,31.1,30.8,31.6,32.1
Proportion of women in managerial positions (%),Zimbabwe,Eastern Africa,,,,,,,,,,,,20.6,,,28.9,,,
Proportion of women in managerial positions (%),Spain,Southern Europe,31.5,32.3,31.6,29.9,31.6,32,31.9,32.3,32.5,33.2,34.3,30,30.2,30.8,30.9,31.4,31.2,30.6
Proportion of women in managerial positions (%),South Sudan,Eastern Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Sudan,Northern Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Western Sahara,Northern Africa,,,,,,,,,,,,,,,,,,
Proportion of women in managerial positions (%),Suriname,South America,,,,,,,,,,,,,,35.8,,37.3,,
Proportion of women in managerial positions (%),Svalbard and Jan Mayen Islands,Northern Europe,,,,,,,,,,,,,,,,,,
