Indicator Name,geoAreaName,parentName,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,value_2018
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Saudi Arabia,Western Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Senegal,Western Africa,,,,,,35.5,,,,24.3,19.3,19.2,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Serbia,Southern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Seychelles,Eastern Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Sierra Leone,Western Africa,,,,,,,,79,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Singapore,South-Eastern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Slovakia,Eastern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Viet Nam,South-Eastern Asia,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Slovenia,Southern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Somalia,Eastern Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),South Africa,Southern Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Zimbabwe,Eastern Africa,68.1,,,,,75.8,,,,72.2,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Spain,Southern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),South Sudan,Eastern Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Sudan,Northern Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Western Sahara,Northern Africa,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Suriname,South America,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Svalbard and Jan Mayen Islands,Northern Europe,,,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Eswatini,Southern Africa,,74.4,,,,,,,,,,,
Proportion of women who make their own informed decisions regarding sexual relations (% of women aged 15-49 years),Sweden,Northern Europe,,,,,,,,,,,,,
